Total k,Energy (eV),Energy (Ry),Convergence Level (eV) (per atom),Convergence Level (Ry)(per atom) ,Time (s),Unique k: 
8,-5794.960302441573,-396.54102055165345,1.4796629307970761,0.10125126282634081,2.1252782344818115,3
27,-5797.144329912221,-396.69047049383147,0.38764919547293175,0.02652629173733906,2.4860823154449463,4
64,-5797.653092814111,-396.7252844269397,0.13326774452798418,0.009119325183207619,2.607106924057007,8
125,-5797.81524157801,-396.736380039845,0.05219336257869145,0.003571518730552246,2.858041524887085,10
216,-5797.87591101837,-396.74053156471166,0.02185864239845614,0.001495756297226996,3.70678448677063,16
343,-5797.8927838527125,-396.74168614914373,0.013422225227259332,0.0009184640811860381,4.740152359008789,20
512,-5797.910982834445,-396.74293147998515,0.004322734360812319,0.0002957986604822819,5.742426156997681,29
729,-5797.916478856179,-396.743307565058,0.0015747234938316979,0.00010775612407001173,8.639538764953613,35
1000,-5797.918236984484,-396.7434278713165,0.0006956593415452517,4.760299481886341e-05,9.690550327301025,47
1331,-5797.92117649555,-396.7436290179434,0.0007740961914350919,5.2970318645235336e-05,12.627376794815063,56
1728,-5797.919628303167,-396.7435230773061,0.0,0.0,17.196439504623413,72
